target,series,experiment,checkpoint,epoch,step,size_mib,evaluation_status,path
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_149_step_83456,149,83456,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_149_step_83456.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_159_step_89021,159,89021,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_159_step_89021.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_169_step_94588,169,94588,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_169_step_94588.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_179_step_100150,179,100150,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_179_step_100150.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_189_step_105716,189,105716,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_189_step_105716.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_199_step_111283,199,111283,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_199_step_111283.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_009_step_04327,9,4327,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_009_step_04327.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_019_step_08660,19,8660,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_019_step_08660.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_029_step_12985,29,12985,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_029_step_12985.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_039_step_17318,39,17318,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_039_step_17318.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_049_step_21654,49,21654,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_049_step_21654.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_059_step_25970,59,25970,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_059_step_25970.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_069_step_30310,69,30310,835.6,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_069_step_30310.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_079_step_34658,79,34658,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_079_step_34658.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_089_step_38996,89,38996,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_089_step_38996.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_099_step_43340,99,43340,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_099_step_43340.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_109_step_47673,109,47673,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_109_step_47673.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_119_step_52003,119,52003,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_119_step_52003.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_129_step_56349,129,56349,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_129_step_56349.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_139_step_60691,139,60691,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_139_step_60691.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_149_step_65017,149,65017,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_149_step_65017.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_159_step_69359,159,69359,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_159_step_69359.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_169_step_73692,169,73692,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_169_step_73692.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_179_step_78016,179,78016,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_179_step_78016.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_189_step_82366,189,82366,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_189_step_82366.pth
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_199_step_86706,199,86706,835.7,passed,experiments/reid/duke_syntetic_filtered_seq/results/duke_filtered_syntetic/train/model_epoch_199_step_86706.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_009_step_29073,9,29073,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_009_step_29073.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_009_step_29073,9,29073,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_009_step_29073.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_009_step_29073,9,29073,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_009_step_29073.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_009_step_29073,9,29073,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_009_step_29073.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_019_step_58078,19,58078,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_019_step_58078.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_019_step_58078,19,58078,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_019_step_58078.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_019_step_58078,19,58078,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_019_step_58078.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_019_step_58078,19,58078,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_019_step_58078.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_029_step_87117,29,87117,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_029_step_87117.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_029_step_87117,29,87117,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_029_step_87117.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_029_step_87117,29,87117,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_029_step_87117.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_029_step_87117,29,87117,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_029_step_87117.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_039_step_116118,39,116118,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_039_step_116118.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_039_step_116118,39,116118,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_039_step_116118.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_039_step_116118,39,116118,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_039_step_116118.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_039_step_116118,39,116118,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_039_step_116118.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_049_step_145132,49,145132,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_049_step_145132.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_049_step_145132,49,145132,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_049_step_145132.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_049_step_145132,49,145132,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_049_step_145132.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_049_step_145132,49,145132,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_049_step_145132.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_059_step_174216,59,174216,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_059_step_174216.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_059_step_174216,59,174216,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_059_step_174216.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_059_step_174216,59,174216,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_059_step_174216.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_059_step_174216,59,174216,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_059_step_174216.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_069_step_203291,69,203291,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_069_step_203291.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_069_step_203291,69,203291,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_069_step_203291.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_069_step_203291,69,203291,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_069_step_203291.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_069_step_203291,69,203291,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_069_step_203291.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_079_step_232299,79,232299,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_079_step_232299.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_079_step_232299,79,232299,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_079_step_232299.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_079_step_232299,79,232299,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_079_step_232299.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_079_step_232299,79,232299,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_079_step_232299.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_089_step_261419,89,261419,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_089_step_261419.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_089_step_261419,89,261419,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_089_step_261419.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_089_step_261419,89,261419,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_089_step_261419.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_089_step_261419,89,261419,837.0,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_089_step_261419.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_099_step_290419,99,290419,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_099_step_290419.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_099_step_290419,99,290419,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_099_step_290419.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_099_step_290419,99,290419,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_099_step_290419.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_099_step_290419,99,290419,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_099_step_290419.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_109_step_319465,109,319465,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_109_step_319465.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_109_step_319465,109,319465,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_109_step_319465.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_109_step_319465,109,319465,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_109_step_319465.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_109_step_319465,109,319465,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_109_step_319465.pth
Duke,generalized_reid_duke_raw,Generalized Swin on Duke (raw),model_epoch_119_step_348594,119,348594,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_119_step_348594.pth
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_119_step_348594,119,348594,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_119_step_348594.pth
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_119_step_348594,119,348594,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_119_step_348594.pth
Combined stress,generalized_reid_combined_stress_raw,Generalized Swin combined stress (raw),model_epoch_119_step_348594,119,348594,836.9,passed,experiments/reid/generalized_reid_swin/results/generalized_swin/train/model_epoch_119_step_348594.pth
LTCC,ltcc_resnet_0.1.3,LTCC ResNet 0.1.3,model_epoch_009_step_02725,9,2725,230.0,passed,experiments/reid/ltcc/results_0.1.3/train/model_epoch_009_step_02725.pth
LTCC,ltcc_resnet_0.1.3,LTCC ResNet 0.1.3,model_epoch_019_step_05426,19,5426,229.9,passed,experiments/reid/ltcc/results_0.1.3/train/model_epoch_019_step_05426.pth
LTCC,ltcc_resnet_0.1.3,LTCC ResNet 0.1.3,model_epoch_029_step_08129,29,8129,230.0,passed,experiments/reid/ltcc/results_0.1.3/train/model_epoch_029_step_08129.pth
LTCC,ltcc_resnet_0.1.3,LTCC ResNet 0.1.3,model_epoch_039_step_10831,39,10831,229.9,passed,experiments/reid/ltcc/results_0.1.3/train/model_epoch_039_step_10831.pth
LTCC,ltcc_resnet_0.1.3,LTCC ResNet 0.1.3,model_epoch_049_step_13553,49,13553,229.9,passed,experiments/reid/ltcc/results_0.1.3/train/model_epoch_049_step_13553.pth
LTCC,ltcc_resnet_0.1.3,LTCC ResNet 0.1.3,model_epoch_059_step_16256,59,16256,229.9,passed,experiments/reid/ltcc/results_0.1.3/train/model_epoch_059_step_16256.pth
LTCC,ltcc_swin_misfiled_0.1.4_epoch0,LTCC Swin misfiled 0.1.4 epoch 0,model_epoch_000_step_00000,0,0,497.8,passed,experiments/reid/ltcc/results_0.1.4/train/model_epoch_000_step_00000.pth
LTCC,ltcc_resnet_0.1.4,LTCC ResNet 0.1.4,model_epoch_009_step_05458,9,5458,229.9,passed,experiments/reid/ltcc/results_0.1.4/train/model_epoch_009_step_05458.pth
LTCC,ltcc_resnet_0.1.4,LTCC ResNet 0.1.4,model_epoch_019_step_10929,19,10929,229.9,passed,experiments/reid/ltcc/results_0.1.4/train/model_epoch_019_step_10929.pth
LTCC,ltcc_resnet_0.1.4,LTCC ResNet 0.1.4,model_epoch_029_step_16399,29,16399,230.0,passed,experiments/reid/ltcc/results_0.1.4/train/model_epoch_029_step_16399.pth
LTCC,ltcc_resnet_0.1.4,LTCC ResNet 0.1.4,model_epoch_039_step_21863,39,21863,229.9,passed,experiments/reid/ltcc/results_0.1.4/train/model_epoch_039_step_21863.pth
LTCC,ltcc_resnet_0.1.4,LTCC ResNet 0.1.4,model_epoch_049_step_27337,49,27337,229.9,passed,experiments/reid/ltcc/results_0.1.4/train/model_epoch_049_step_27337.pth
LTCC,ltcc_resnet_0.1.4,LTCC ResNet 0.1.4,model_epoch_059_step_32791,59,32791,229.9,passed,experiments/reid/ltcc/results_0.1.4/train/model_epoch_059_step_32791.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_009_step_05451,9,5451,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_009_step_05451.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_019_step_10945,19,10945,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_019_step_10945.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_029_step_16429,29,16429,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_029_step_16429.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_039_step_21917,39,21917,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_039_step_21917.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_049_step_27391,49,27391,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_049_step_27391.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_059_step_32862,59,32862,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_059_step_32862.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_069_step_38346,69,38346,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_069_step_38346.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_079_step_43832,79,43832,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_079_step_43832.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_089_step_49312,89,49312,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_089_step_49312.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_099_step_54790,99,54790,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_099_step_54790.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_109_step_60244,109,60244,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_109_step_60244.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_119_step_65706,119,65706,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_119_step_65706.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_129_step_71182,129,71182,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_129_step_71182.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_139_step_76660,139,76660,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_139_step_76660.pth
LTCC,ltcc_swin_1.0.1,LTCC Swin 1.0.1,model_epoch_149_step_82107,149,82107,829.2,passed,experiments/reid/ltcc/results_1.0.1/train/model_epoch_149_step_82107.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_004_step_02726,4,2726,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_004_step_02726.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_009_step_05471,9,5471,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_009_step_05471.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_014_step_08207,14,8207,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_014_step_08207.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_019_step_10946,19,10946,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_019_step_10946.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_024_step_13676,24,13676,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_024_step_13676.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_029_step_16414,29,16414,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_029_step_16414.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_034_step_19168,34,19168,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_034_step_19168.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_039_step_21904,39,21904,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_039_step_21904.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_044_step_24628,44,24628,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_044_step_24628.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_049_step_27345,49,27345,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_049_step_27345.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_054_step_30084,54,30084,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_054_step_30084.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_059_step_32828,59,32828,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_059_step_32828.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_064_step_35561,64,35561,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_064_step_35561.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_069_step_38310,69,38310,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_069_step_38310.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_074_step_41047,74,41047,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_074_step_41047.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_079_step_43795,79,43795,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_079_step_43795.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_084_step_46536,84,46536,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_084_step_46536.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_089_step_49273,89,49273,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_089_step_49273.pth
LTCC,ltcc_swin_plain,LTCC Swin plain,model_epoch_094_step_52016,94,52016,829.2,passed,experiments/reid/ltcc/results_swin_plain/train/model_epoch_094_step_52016.pth
